disease	SnoRNA	Score
21	62	0.9912045631299443
21	299	0.9912045631299443
54	14	0.9911726427767862
24	200	0.9911372760174912
82	110	0.991108651899674
42	110	0.991108651899674
11	110	0.991108651899674
23	107	0.9910848020421367
34	109	0.991066533778031
34	325	0.991066533778031
23	323	0.9910265528258424
34	125	0.9909241783469708
74	8	0.9908863096126745
23	265	0.9908596930280421
34	49	0.9908510785622154
24	250	0.990678808108326
9	303	0.9905691015927207
9	96	0.9905691015927207
54	281	0.9905616905376807
11	147	0.9905295930887368
9	93	0.9904838829724714
9	111	0.9904838829724714
9	134	0.9904838829724714
53	109	0.990472649679347
53	81	0.990472649679347
53	82	0.990472649679347
82	290	0.9904319445921623
11	290	0.9904319445921623
23	131	0.9904263225417071
23	252	0.9904183399308306
34	187	0.9904121172299463
23	289	0.990349087504914
34	29	0.9902636236373848
24	99	0.9902613458352258
24	109	0.9902613458352258
24	94	0.9902613458352258
24	218	0.9902427312337171
24	293	0.9902427312337171
99	236	0.9901918084336034
11	50	0.9901832003231482
53	325	0.9901820640593957
21	265	0.9901037940950916
77	41	0.9899937796424583
29	46	0.9899937796424583
77	42	0.9899937796424583
77	27	0.9899937796424583
77	44	0.9899937796424583
77	46	0.9899937796424583
77	45	0.9899937796424583
21	280	0.989984644727229
34	129	0.989959445621518
34	28	0.989959445621518
34	305	0.989959445621518
34	108	0.989959445621518
34	2	0.989959445621518
34	90	0.989959445621518
34	244	0.989959445621518
54	280	0.9898282250589795
9	19	0.9897227682716191
21	264	0.9896789835542388
9	282	0.9896775248866989
7	35	0.9896638149033874
11	309	0.9896595069438049
53	309	0.9895345149120959
24	325	0.9895323131565018
54	331	0.9895151070405919
53	202	0.9895125658325508
24	84	0.989494447078528
7	135	0.9894723580966778
99	135	0.9894723580966778
91	147	0.9894376147537416
34	78	0.9894275977038726
34	47	0.9894275977038726
38	255	0.9894160946075848
55	255	0.9894160946075848
2	255	0.9894160946075848
9	98	0.9892798059195654
110	1	0.9892263261763199
42	1	0.9892263261763199
82	1	0.9892263261763199
23	155	0.9891752339723213
23	47	0.9891752339723213
23	157	0.9891752339723213
23	310	0.9891752339723213
76	35	0.9891649022471204
72	35	0.9891649022471204
76	39	0.9891469068342608
72	39	0.9891469068342608
91	57	0.9891411819819944
54	58	0.9890758204530015
24	10	0.9890754314792097
54	142	0.9890310174774335
82	237	0.9889496872633594
91	138	0.9889276204684126
54	39	0.9886260060431901
24	80	0.988582535048895
108	37	0.9885128458707428
99	37	0.9885128458707428
108	47	0.9885128458707428
7	26	0.9885128458707428
7	47	0.9885128458707428
72	47	0.9885128458707428
76	47	0.9885128458707428
108	26	0.9885128458707428
99	47	0.9885128458707428
72	26	0.9885128458707428
99	26	0.9885128458707428
54	237	0.9884925370596218
54	293	0.9884925370596218
54	218	0.9884925370596218
9	330	0.9884686449421556
34	156	0.9884126080896803
75	30	0.9883489693186694
75	45	0.9883489693186694
75	33	0.9883489693186694
75	42	0.9883489693186694
75	43	0.9883489693186694
75	32	0.9883489693186694
75	31	0.9883489693186694
110	274	0.9883024851296682
110	281	0.9883024851296682
11	12	0.9882800084668002
11	114	0.9881935684802715
23	2	0.9881734987479514
23	244	0.9881734987479514
23	108	0.9881734987479514
23	129	0.9881734987479514
23	132	0.9881734987479514
23	58	0.9881734987479514
23	91	0.9881364743097565
54	56	0.9880918091750123
91	219	0.9878737029177656
82	231	0.9878493715924636
24	1	0.9878472854509495
24	331	0.9876570470174096
91	7	0.9876106270048681
23	70	0.9875429049644465
23	28	0.9875401366920312
21	255	0.9875343274903299
23	219	0.9874986366092325
53	65	0.98746307325959
53	7	0.98746307325959
24	308	0.98744503570269
24	241	0.98744503570269
24	263	0.98744503570269
24	231	0.98744503570269
110	293	0.9873848576818903
110	218	0.9873848576818903
110	237	0.9873848576818903
54	200	0.9873545456318231
21	135	0.98730376486818
91	39	0.9872043128814256
82	7	0.9871602295825322
110	7	0.9871602295825322
54	191	0.9871479200676152
51	222	0.9870764468745388
42	202	0.9869922641741158
82	202	0.9869922641741158
11	202	0.9869922641741158
110	202	0.9869922641741158
42	34	0.9869769416130098
110	32	0.9869769416130098
82	46	0.9869769416130098
82	43	0.9869769416130098
82	31	0.9869769416130098
110	46	0.9869769416130098
11	43	0.9869769416130098
11	34	0.9869769416130098
110	43	0.9869769416130098
110	34	0.9869769416130098
82	34	0.9869769416130098
42	46	0.9869769416130098
11	46	0.9869769416130098
11	78	0.9869769416130098
11	32	0.9869769416130098
82	312	0.9869769416130098
11	299	0.9869769416130098
110	299	0.9869769416130098
110	31	0.9869769416130098
11	312	0.9869769416130098
82	299	0.9869769416130098
110	312	0.9869769416130098
91	36	0.9869415500997222
42	26	0.9868880613408869
37	334	0.9868843807495645
23	321	0.9868435002521254
18	334	0.9867970886334697
36	334	0.9867970886334697
23	154	0.9867836969068211
23	260	0.9867777397060696
11	18	0.9866945854509083
53	50	0.9866223915428626
82	8	0.9865616896789687
23	282	0.9865193283278386
11	57	0.9864979137153382
82	57	0.9864979137153382
42	57	0.9864979137153382
23	211	0.9864181350150888
23	135	0.9864178768870472
23	21	0.9864178768870472
110	308	0.9863792882490834
110	263	0.9863792882490834
110	241	0.9863792882490834
51	273	0.9863534114304987
24	271	0.9862295024292431
24	140	0.9862295024292431
24	13	0.9862295024292431
99	1	0.9862238790455474
11	211	0.9862218670597099
91	80	0.9861584152175804
24	217	0.9861500360939192
23	221	0.9861375034485167
53	80	0.9859886383863345
54	221	0.9858053268777571
9	309	0.9857399081425441
34	200	0.9857296674439594
91	38	0.9856579174285309
51	1	0.985555466971551
23	19	0.9855136097479076
11	59	0.9855024851878541
108	252	0.9854652032756287
34	59	0.9854137886050918
39	1	0.9853995918783468
11	100	0.9852597288251331
54	329	0.9852335886499658
54	37	0.9852335886499658
54	255	0.9852335886499658
54	277	0.9852335886499658
53	282	0.9852123034259592
9	67	0.9851471277408659
53	330	0.9850663439337979
9	84	0.9849967942203608
9	117	0.9849967942203608
9	236	0.9849967942203608
11	130	0.9849611879651736
99	56	0.9849217068489117
108	56	0.9849217068489117
21	319	0.9849200838770588
11	265	0.9848956852891223
23	281	0.9848075502997589
23	274	0.9848075502997589
23	302	0.9847938983498439
110	83	0.9847893428959752
110	177	0.9847893428959752
11	83	0.9847893428959752
11	177	0.9847893428959752
82	177	0.9847893428959752
11	101	0.9847893428959752
110	101	0.9847893428959752
24	32	0.9847334169400072
24	312	0.9847334169400072
24	34	0.9847334169400072
24	31	0.9847334169400072
24	78	0.9847334169400072
24	43	0.9847334169400072
34	202	0.9847206373546149
21	282	0.9846439968212174
21	36	0.9845796948438325
74	255	0.9843626068831459
18	43	0.9843564260348889
81	43	0.9843564260348889
11	14	0.9843505862553867
82	305	0.9843343772072364
11	305	0.9843343772072364
53	72	0.9842638614652233
53	106	0.9842638614652233
110	142	0.9841998592477433
42	290	0.984155397778425
9	95	0.9840913215563192
24	301	0.9840439323536491
24	22	0.9840439323536491
24	51	0.9840439323536491
24	77	0.9840439323536491
23	59	0.9839209525035387
61	44	0.9839053753337905
75	41	0.9838787633526849
75	44	0.9838787633526849
11	29	0.9837952515986633
11	260	0.9837096271750366
54	247	0.9837044307982612
21	309	0.9836150035004444
54	235	0.9835913119432439
54	222	0.9835913119432439
53	264	0.9835503536863377
11	131	0.9835393879688942
110	131	0.9835393879688942
75	35	0.9834602679024235
11	323	0.9833482565597985
82	323	0.9833482565597985
110	323	0.9833482565597985
34	23	0.9833097541873238
21	219	0.9830917170882135
21	222	0.9830917170882135
99	6	0.9830734060449443
23	250	0.9830586367847134
34	206	0.9827524405837179
24	206	0.9827074006097795
82	15	0.9826516415483988
82	136	0.9826516415483988
82	303	0.9826516415483988
110	273	0.9826400376103969
11	273	0.9826400376103969
11	228	0.9826400376103969
82	273	0.9826400376103969
110	228	0.9826400376103969
82	228	0.9826400376103969
34	79	0.9825781393932093
110	110	0.9823782344392482
34	26	0.9823714018935393
99	222	0.9823669769849753
23	200	0.9823062851363534
74	138	0.9822505537331446
24	330	0.9822058497978949
21	324	0.982186009904699
21	37	0.982186009904699
53	265	0.9821047350498281
9	248	0.981922333359029
23	142	0.9819073703707566
53	88	0.981900890952362
24	223	0.9818834463755284
77	35	0.9818790378731829
61	33	0.9818665204510203
110	252	0.9817581937530737
82	252	0.9817581937530737
42	252	0.9817581937530737
50	334	0.9816151719482279
50	37	0.9816151719482279
9	264	0.9815723865873999
9	123	0.9815723865873999
91	29	0.9815713977310204
11	105	0.9815487874070827
110	154	0.9815405680261676
82	243	0.9815362627378792
53	138	0.9815243537343272
91	26	0.9814686213297852
91	47	0.9814686213297852
16	334	0.9813355200281212
82	10	0.981285363615314
21	65	0.98123075132747
21	7	0.98123075132747
34	84	0.9811645765002489
34	236	0.9811645765002489
24	160	0.981147179618396
24	222	0.981147179618396
24	235	0.981147179618396
24	145	0.9811392958626334
24	259	0.9811392958626334
24	171	0.9811392958626334
24	291	0.9811392958626334
24	162	0.9811392958626334
24	136	0.9811392958626334
24	54	0.9811392958626334
24	15	0.9811392958626334
24	195	0.9811392958626334
24	313	0.9811392958626334
24	303	0.9811392958626334
24	169	0.9811392958626334
24	262	0.9811392958626334
24	224	0.9811392958626334
24	328	0.9811392958626334
24	332	0.9811392958626334
54	308	0.9809563924142345
21	236	0.9809243411033437
23	237	0.9809241887277462
23	293	0.9809241887277462
23	218	0.9809241887277462
53	28	0.9809045142566375
53	70	0.9809045142566375
24	307	0.9808744825414695
24	164	0.9808744825414695
74	135	0.980846358528726
9	10	0.9808164684276496
110	15	0.9807565015878
110	259	0.9807565015878
110	328	0.9807565015878
110	136	0.9807565015878
110	205	0.9807565015878
110	197	0.9807565015878
110	224	0.9807565015878
110	169	0.9807565015878
110	146	0.9807565015878
110	291	0.9807565015878
110	195	0.9807565015878
110	171	0.9807565015878
110	332	0.9807565015878
110	54	0.9807565015878
110	253	0.9807565015878
110	233	0.9807565015878
110	283	0.9807565015878
110	145	0.9807565015878
110	262	0.9807565015878
110	234	0.9807565015878
23	10	0.9807534214896184
23	45	0.9807492589512076
23	27	0.9807492589512076
23	63	0.9807492589512076
23	44	0.9807492589512076
23	42	0.9807492589512076
75	46	0.9806465741942324
81	37	0.9804798309887712
54	217	0.9804507551533598
54	30	0.9803872836890386
54	35	0.9803872836890386
24	252	0.9802986156135843
23	236	0.9802566510102004
24	131	0.9801192390673331
39	222	0.9801143211420336
54	330	0.9801049682923233
96	334	0.9800831585550758
96	43	0.9800831585550758
85	334	0.9800286304085958
53	236	0.9800159518018059
53	86	0.9800159518018059
53	129	0.9800159518018059
53	101	0.9800159518018059
53	74	0.9800159518018059
53	66	0.9800159518018059
53	76	0.9800159518018059
53	77	0.9800159518018059
53	132	0.9800159518018059
53	84	0.9800159518018059
53	58	0.9800159518018059
53	2	0.9800159518018059
53	91	0.9800159518018059
53	90	0.9800159518018059
53	73	0.9800159518018059
53	92	0.9800159518018059
53	108	0.9800159518018059
82	157	0.9799896547115597
110	157	0.9799896547115597
11	310	0.9799896547115597
110	155	0.9799896547115597
82	155	0.9799896547115597
110	310	0.9799896547115597
82	310	0.9799896547115597
11	47	0.9799896547115597
110	47	0.9799896547115597
82	47	0.9799896547115597
110	164	0.9798479541359604
110	307	0.9798479541359604
82	96	0.9798406978366019
110	126	0.9797171866930044
82	122	0.9796255708726
11	158	0.9796066693910072
77	39	0.9794526758433373
82	65	0.9794040732040025
82	6	0.9794014244033323
110	6	0.9794014244033323
42	6	0.9794014244033323
11	6	0.9794014244033323
21	19	0.9793965823411861
54	84	0.9793566297118506
9	177	0.9793244358920914
9	83	0.9793244358920914
99	147	0.9792378087231114
21	39	0.9791600296983013
42	130	0.9790192017309775
11	82	0.9789994592976309
11	81	0.9789994592976309
110	82	0.9789994592976309
110	81	0.9789994592976309
24	296	0.9789194042792689
23	306	0.9787664815567365
110	289	0.9787314189484925
82	289	0.9787314189484925
42	289	0.9787314189484925
9	323	0.9786940639399682
9	305	0.9786108456573532
9	6	0.978608573828369
78	43	0.9785915278118928
82	100	0.9785773912414029
9	246	0.9783314800115519
77	47	0.9782126903507361
