disease,SnoRNA,Score
11,58,0.9766428499455718
110,129,0.9766428499455718
110,92,0.9766428499455718
110,108,0.9766428499455718
110,244,0.9766428499455718
11,90,0.9766428499455718
11,132,0.9766428499455718
11,74,0.9766428499455718
110,58,0.9766428499455718
11,2,0.9766428499455718
11,129,0.9766428499455718
110,74,0.9766428499455718
82,2,0.9766428499455718
11,92,0.9766428499455718
77,264,0.976618560010256
21,273,0.9766157648611788
110,28,0.9765097585753209
11,28,0.9765097585753209
82,28,0.9765097585753209
24,155,0.9764377721810056
24,157,0.9764377721810056
24,310,0.9764377721810056
78,42,0.9763827986374756
78,33,0.9763827986374756
82,88,0.97635938175404
23,95,0.9762130297011749
91,6,0.9761991084351288
23,280,0.9760550112110876
21,247,0.9759682299833752
21,207,0.9758056170225976
38,277,0.9758050532532536
55,324,0.9758050532532536
2,324,0.9758050532532536
38,324,0.9758050532532536
55,277,0.9758050532532536
2,277,0.9758050532532536
11,306,0.9757154388429516
42,293,0.9757063526400884
42,218,0.9757063526400884
42,237,0.9757063526400884
11,218,0.9757063526400884
11,237,0.9757063526400884
34,87,0.975699118798838
24,153,0.9756787191113492
24,207,0.9756787191113492
74,19,0.9755964753266044
99,19,0.9755964753266044
7,19,0.9755964753266044
23,241,0.9755452105352684
23,231,0.9755452105352684
23,308,0.9755452105352684
23,263,0.9755452105352684
21,136,0.9755254964402698
96,33,0.975317085234002
96,31,0.975317085234002
96,30,0.975317085234002
96,42,0.975317085234002
108,299,0.975313913453983
99,299,0.975313913453983
54,41,0.9753131604703827
36,42,0.9752611151704844
6,42,0.9752611151704844
81,42,0.9752611151704844
65,42,0.9752611151704844
36,33,0.9752611151704844
18,42,0.9752611151704844
42,177,0.9752390778524348
75,39,0.9751380172130476
110,250,0.974885854551946
16,43,0.9748327438422608
82,219,0.9748271658466748
11,219,0.9748271658466748
110,219,0.9748271658466748
61,31,0.9748232086478004
65,334,0.9747242329452548
84,334,0.9746989748274898
82,135,0.97469237254402
110,21,0.97469237254402
82,21,0.97469237254402
42,135,0.97469237254402
11,21,0.97469237254402
11,135,0.97469237254402
11,7,0.9746697517560398
23,39,0.9746654622554364
11,282,0.9746440135001362
110,282,0.9746440135001362
82,282,0.9746440135001362
54,38,0.97459320199591
105,147,0.9745427862210132
25,147,0.9745427862210132
51,147,0.9745427862210132
110,296,0.97451600512349
0,252,0.974313554555965
110,321,0.974245571231301
82,321,0.974245571231301
11,321,0.974245571231301
34,75,0.9741865173898852
34,301,0.9741865173898852
99,207,0.9739537064470236
76,312,0.9739350015408608
7,312,0.9739350015408608
108,312,0.9739350015408608
99,312,0.9739350015408608
37,46,0.9739139258873446
82,134,0.9738607193929696
82,111,0.9738607193929696
11,111,0.9738607193929696
11,134,0.9738607193929696
82,221,0.9738607193929696
54,26,0.973855151687143
24,126,0.9737014431864642
74,147,0.9736238832197984
34,39,0.9734611751938071
23,140,0.9733525300062996
23,271,0.9733525300062996
23,13,0.9733525300062996
23,243,0.9733525300062996
23,287,0.9733525300062996
11,267,0.9732821327104206
51,202,0.9732054345027902
82,91,0.9730945446143324
82,121,0.9730945446143324
11,91,0.9730945446143324
110,121,0.9730945446143324
11,121,0.9730945446143324
110,70,0.9730916325269716
11,70,0.9730916325269716
24,12,0.9730483395024296
11,241,0.972953413003938
11,231,0.972953413003938
11,308,0.972953413003938
75,47,0.9728115820545016
75,37,0.9728115820545016
11,79,0.9727486678872774
110,79,0.9727486678872774
51,40,0.972605654086109
51,139,0.972605654086109
42,302,0.9723901260684956
26,30,0.9722985017497142
91,56,0.9722900668922336
78,30,0.9721289459533838
78,31,0.9721289459533838
7,29,0.9719427729528972
23,217,0.9717815958570276
78,32,0.9717457797926298
82,330,0.9717234758329536
88,21,0.971645500016668
24,254,0.9715616776590876
54,291,0.971535570890231
54,224,0.971535570890231
54,15,0.971535570890231
54,169,0.971535570890231
54,146,0.971535570890231
54,328,0.971535570890231
54,136,0.971535570890231
54,253,0.971535570890231
54,162,0.971535570890231
54,54,0.971535570890231
54,262,0.971535570890231
54,234,0.971535570890231
54,171,0.971535570890231
54,145,0.971535570890231
54,303,0.971535570890231
54,205,0.971535570890231
54,233,0.971535570890231
54,195,0.971535570890231
23,56,0.9715178962476184
54,23,0.9714908618000144
9,32,0.9713915265392694
9,34,0.9713915265392694
9,78,0.9713915265392694
9,43,0.9713915265392694
9,312,0.9713915265392694
9,299,0.9713915265392694
9,31,0.9713915265392694
9,46,0.9713915265392694
34,1,0.9713373333708264
71,334,0.9712453788051584
65,31,0.9711421482662967
18,30,0.9711421482662967
81,31,0.9711421482662967
81,30,0.9711421482662967
6,31,0.9711421482662967
65,30,0.9711421482662967
18,31,0.9711421482662967
82,14,0.97109832688379
23,41,0.9709827526695374
11,115,0.970803194358532
82,115,0.970803194358532
82,53,0.970803194358532
11,93,0.970803194358532
110,53,0.970803194358532
11,53,0.970803194358532
110,93,0.970803194358532
110,115,0.970803194358532
65,43,0.9707751371998116
65,37,0.970659511046266
61,27,0.9705083904592756
84,43,0.9703308204702356
23,141,0.9701121968045684
23,245,0.9701121968045684
23,37,0.9701121968045684
23,255,0.9701121968045684
23,324,0.9701121968045684
23,277,0.9701121968045684
23,334,0.9701121968045684
23,329,0.9701121968045684
34,20,0.9700696066886128
36,41,0.9698696713404892
99,10,0.969825353263053
21,38,0.9697746012916424
99,334,0.9696579448518754
108,334,0.9696579448518754
76,334,0.9696579448518754
72,334,0.9696579448518754
42,154,0.9695828089160436
16,33,0.969376217745608
16,42,0.969376217745608
9,244,0.9692736928440848
9,121,0.9692736928440848
50,32,0.9692416924352232
21,202,0.9691968693073112
11,19,0.969176782310329
110,19,0.969176782310329
82,19,0.969176782310329
42,19,0.969176782310329
24,107,0.9691668058355096
88,59,0.9691369103711546
91,10,0.9691288139568568
82,142,0.9688868081997608
11,142,0.9688868081997608
54,80,0.9688727991142022
16,32,0.9688400668055565
99,80,0.9686082041784588
