disease,SnoRNA,Score
11,281,0.9920861688295964
11,276,0.9920861688295964
11,174,0.9920861688295964
53,152,0.9920776871186752
23,152,0.9920776871186752
21,6,0.9920695576687096
110,68,0.9919960025121546
110,40,0.9919960025121546
110,156,0.9919960025121546
110,177,0.9918971353696554
82,36,0.9918777816469566
53,22,0.9918715829966168
53,133,0.991858747321228
54,283,0.991849719519028
12,43,0.9917299247094856
71,43,0.9917299247094856
12,37,0.9917299247094856
37,42,0.9917243556604888
34,78,0.9917145618648636
54,30,0.9917115129706378
54,31,0.9917115129706378
23,249,0.9916026671742264
23,247,0.9915842567842312
53,247,0.9915842567842312
53,78,0.9915842567842312
102,312,0.9915255281112232
42,92,0.9915166844842842
9,235,0.9914951640780486
54,289,0.9914826649358248
24,56,0.9914629969226018
23,22,0.991459081244494
53,72,0.9914290275435468
25,215,0.9914100677143954
105,215,0.9914100677143954
1,215,0.9914100677143954
11,22,0.99136684082088
111,159,0.9913652210804776
111,267,0.9913652210804776
111,151,0.9913652210804776
111,165,0.9913652210804776
23,282,0.991329523854914
53,282,0.991329523854914
23,319,0.9913078518105296
53,319,0.9913078518105296
110,45,0.9912855422508736
42,103,0.9912855422508736
110,245,0.9912855422508736
110,44,0.9912855422508736
110,41,0.9912855422508736
42,26,0.9912855422508736
110,42,0.9912855422508736
42,46,0.9912855422508736
42,245,0.9912855422508736
110,43,0.9912855422508736
42,324,0.9912855422508736
110,324,0.9912855422508736
110,34,0.9912855422508736
110,33,0.9912855422508736
110,32,0.9912855422508736
42,34,0.9912855422508736
110,47,0.9912855422508736
110,37,0.9912855422508736
110,46,0.9912855422508736
110,27,0.9912855422508736
34,29,0.9912389699236052
23,241,0.991205069465937
11,202,0.9912039337792976
110,224,0.9911880784962378
110,218,0.9911880784962378
110,89,0.9911880784962378
110,308,0.9911880784962378
110,48,0.9911880784962378
24,37,0.9911323618593796
24,44,0.9911323618593796
110,54,0.9911290334768726
53,331,0.9911232814676924
23,331,0.9911232814676924
53,329,0.9911187378026236
53,255,0.9911187378026236
23,255,0.9911187378026236
23,329,0.9911187378026236
53,330,0.9910860540752262
53,284,0.9910860540752262
53,248,0.9910860540752262
9,277,0.9910446029329136
53,132,0.9910240327481076
11,303,0.9910034284276028
42,93,0.9909162814916758
42,132,0.9908829101172328
53,76,0.9908725160048056
23,207,0.9908409698397764
21,19,0.9908238722778266
54,107,0.9907955100313448
82,329,0.9907017573825392
82,277,0.9907017573825392
82,255,0.9907017573825392
11,259,0.9907013961607234
11,332,0.9907013961607234
110,164,0.9906916506480484
110,316,0.9906916506480484
82,331,0.9906816401074584
82,223,0.9906816401074584
53,235,0.9905891456804056
23,235,0.9905891456804056
65,37,0.9905177427825236
21,216,0.9905095512803836
74,8,0.9904028790261318
110,53,0.990344081393738
23,20,0.9902465443927374
23,122,0.9902465443927374
23,138,0.9902465443927374
53,311,0.9902216912512783
110,237,0.9902045704064264
82,114,0.9901934407164223
24,143,0.9900936045679832
34,62,0.9900877370139942
29,329,0.9899951872707478
88,143,0.9898743180420768
42,72,0.9898717423891442
23,6,0.9898596721147168
11,71,0.989826580330146
9,164,0.9898241661384238
42,99,0.9898034112856025
53,70,0.9897542345317556
110,200,0.98967139046429
12,41,0.9896164356645186
110,8,0.9895862470416557
81,37,0.989536583288006
23,139,0.9895273897305992
24,152,0.989489306845892
102,255,0.9894859457225206
71,44,0.989466669041974
12,44,0.989466669041974
82,62,0.989455396856313
23,54,0.98945430489263
82,204,0.9894445869374714
53,73,0.9894099950087684
64,215,0.989350616841098
80,215,0.989350616841098
3,215,0.989350616841098
20,215,0.989350616841098
3,31,0.9892745906635638
42,292,0.9892162397722796
